reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Product_Category
A1UQ9JZLKLAO7X,545496470,"A. Perez ""ladybug""","[0, 6]",This book looks really fun and cool. Haven't opened or used it yet because I got it for my 6 year old daughter for xmas but i know she will enjoy doing the projects with me.  she is very creative and loves crazy weird stuff so this seems right up her alley.,4,Book of impossible objects,1386633600,"12 10, 2013",Toys_and_Games
ADGYS9FJ3G8SG,545496470,Happily crazy mom,"[5, 20]",Bought this book for my optical illusion obsessed son (10) to read while on a loooooong driving trip. It wasn't the best choice because there are lots of extra pieces and loose materials in the back of the book for performing these illusions. We haven't brought it back out since getting home but I'm sure it will be great!,3,lots of stuff,1380067200,"09 25, 2013",Toys_and_Games
A1FENQE2U5HPYT,545496470,H. Kaduson,"[0, 0]",Kids who I treat love to read all the optical illusion books.  This was great because it had the projects so they could understand it even more.,5,Great Book,1397520000,"04 15, 2014",Toys_and_Games
A1SPCP1NLUZMUX,545496470,Jon McAllister,"[0, 1]",We opened it on Chistmas and played with it but it didn't hold anyone's interest. Maybe better for some one who is very interested in optical illusions.,3,just okay,1391817600,"02 8, 2014",Toys_and_Games
A3Q8JZTT51HCHI,545496470,m,"[3, 12]",Waaaaay overpriced for what you get. Daughter wants it but I think she will be disappointed. Content is very thin despite bulky cover.,2,Not much going on here,1385510400,"11 27, 2013",Toys_and_Games
A2LOD3K7460UB,545496470,Toy Room,"[1, 1]",My son got this as a gift.  We have had fun doing the activities in this book.  I would even buy this to give away as gifts for other children.,5,great,1389398400,"01 11, 2014",Toys_and_Games
A17TMITCPJET4,615444172,Amazon Customer,"[1, 1]",This is a good sized book. Great quality.  I bought it for my two year old so she would stop putting stickers in rab random places.  I think it would be perfect for an older kid who is really into stickers.,5,good book,1396396800,"04 2, 2014",Toys_and_Games
A2VJPY7A1DTF6Z,615444172,Carolyn Conover,"[0, 0]",We haven't found a sticker that won't peel off the pages. My daughter spent 2 hours Christmas morning going through this book. Great book!,5,Two Year Old Loves This,1388534400,"01 1, 2014",Toys_and_Games
AHS680SHZ36GP,615444172,Cat Moreau,"[1, 2]","This is a great sticker book, with large rings in the middle for easy page turning.  The pages are each filled with colorful pictures that your child (or you) can fill with all kinds of stickers that they want to keep.  The book is the right material to allow the stickers to be moved (though they still lose their ability to be moved over time), and it even comes with a couple of stickers in the middle.  These stickers are in a pouch at the back, which can be used in the future to store full sheets of stickers (or stickers that have not yet made it into the book).",5,Great sticker holding investment,1373241600,"07 8, 2013",Toys_and_Games
A3GJPLCZCDXXG6,615444172,Denzil,"[1, 1]","This item arrived quickly!  My 7 yr old opened it on Christmas Eve and smiled from ear to ear.  It is the perfect gift for a sticker lover.  She sat for hours decorating her pages with her sticker collection.  Brought back so many memories for me too, being a child of the 80's who collected stickers.",5,Perfect gift for the sticker lover,1388361600,"12 30, 2013",Toys_and_Games
A1RKY6QL7SFX5K,615444172,NiFO,"[1, 1]","We thought this might be a nice place for my 2 year-old daughter to collect her reward stickers instead of on sticker charts that just get thrown in the trash.  The quality of this book is fantastic.  It has a very heavy, sturdy cover and thick pages that are coated to allow for removal and re-sticking.Each page has different, fun scenery, which makes it visually appealing even when there aren't a ton of stickers on that particular page.  My daughter is so excited to earn stickers and put them in this book, and she even enjoys spending time just flipping through the pages and admiring her collection.  I can foresee this lasting until she's pretty much bored with collecting stickers, and that's a couple years down the road.",5,Great quality sticker book!,1391990400,"02 10, 2014",Toys_and_Games
A2XYAK5P9LS7C4,615444172,Rebecca Raznick,"[2, 2]","All 3 of my kids love these books! They carry them every where and they keep them entertained for hours! Even my 3 1/2 year old will sit and move the stickers around, add more stickers and is happy as a clam! The books are of amazing quality, stickers can be pulled off, moved around and stacked with not damage to the stickers. The stickers that you can order from the website are the best. You cannot buy anything like them. My kids love the foods that you can stack and make hamburgers etc. Stickers have become the best incentive for my kids. They love to earn and trade for new stickers. These books make a great birthday gift, party favor and holiday present.",5,Get this for your kids ASAP!,1323129600,"12 6, 2011",Toys_and_Games
A206FI2P68MPS0,670010936,C. Quinones,"[0, 0]","My son loves when we read any/all of the Llama Llama books, so when I saw this, I knew he'd be thrilled.  And thrilled he was!  It's adorable!",5,Llama Llama Cuddly!!,1355529600,"12 15, 2012",Toys_and_Games
A2WGDVAR0SORKZ,670010936,"E. F. Porter ""pongocat""","[0, 0]","Kids seem to love the sing-song prose of the Llama Llama books, and of course they all carry a little moral type message for kids without being too obvious.",5,Love these books,1356739200,"12 29, 2012",Toys_and_Games
A2BHG7781B6FUB,670010936,J J,"[0, 0]","Cute, but my grandson doesn't play with it very much even though he adores the Llama books; not so cuddly as it could be.",3,Not so cuddly...,1357516800,"01 7, 2013",Toys_and_Games
A1IOJ3D38A6VK2,670010936,"ktowndiva ""Isadabomb""","[0, 0]","If your child likes the llama llama books, then you HAVE TO BUY this plush llama llama doll! It is absolutely adorable. My daughter loves hers!",5,Cute and Cuddley,1334102400,"04 11, 2012",Toys_and_Games
A1X7E544IJXXCB,670010936,lighthouseland,"[0, 0]","This came today and my son instantly recognized it from the book.  He is two so I'm a bit worried about the little bear attached, as in what if he rips it off in the middle of the night and chokes on it kind of fear.  So for now, we will watch him, but otherwise seems great.",4,As promised,1361750400,"02 25, 2013",Toys_and_Games
A3Z9QN0RCOHEY,670010936,My2Cents,"[0, 0]","I bought this for my granddaughter along with the books Lama Lama Red Pajamas and Lama Lama Mad at Mama, and found the stuffed animal to be the perfect size and match for a toddler to snuggle with and carry around.It's very well made (he's a little skinny) but don't regret the purchase.  Our 2-year-old granddaughter loved him (as well as the books).",5,Very Cute and a perfect compliment to the book,1400630400,"05 21, 2014",Toys_and_Games
A1T64JWXEI4BD6,670010936,Ned Kelley,"[0, 0]",I have to praise amazon for having this product at a great price.  We actually picked one up at Barnes and Noble and I couldn't bring myself to pay $20+ dollars for a simple stuffed animal that feels painfully like a claw-machine reject.  That said my five-year-old daughter has put her llama to bed every night since Christmas while reading it llama llama stories.  I hope it holds up better than it feels like it should...,4,"I don't love it, but my daughter did.",1388880000,"01 5, 2014",Toys_and_Games
A1BOATOHPT7EG8,670010936,Nikki,"[4, 6]","I wasn't expecting a large plush for $3, and this is a very cute stuffed animal that perfectly compliments the story. But understand that it is very, very small. It is only a few inches tall, and can very easily be lost. I wish they had a larger size.",3,Cute but very tiny,1224115200,"10 16, 2008",Toys_and_Games
A7QEY0IX5IU8S,670010936,S.Williams,"[0, 0]",Our class just loves the Llama Llama series. It is nice to have the actual llama stuffed doll. Good value for the price.,5,"Llama Llama 13.5"" Plush Stuffed Animal Doll",1386720000,"12 11, 2013",Toys_and_Games
A3T4RR60X5EAN4,670010936,Trisha,"[0, 0]","We have so much fun with Llama Llama...we read the books with the plush and change the clothes, pretend to brush teeth...etc. There are great messages in the books and easy to read/follow for the kiddos.",5,Perfect addition to the books!,1371340800,"06 16, 2013",Toys_and_Games
A2D3BT3VQLI1DA,735308365,"A. Baird ""busy mom""","[1, 1]","I LOVE the illustrations on these flashcards. That is what prompted me to buy them for my daughter's second birthday. The cards are very sturdy and have a nice weight and finish to them. My one issue is trying to keep them together. The ring that holds the card together is kind of flimsy. There is value in having the cards be detachable but I almost wish the ring was more permanent. It can be frustrating when you are missing cards. Overall, these are the most attractive, charming ABC flashcards I have ever found. I think I may have been a little too eager though because my daughter is only 2 and she doesn't seem that interested yet. But if you want some nice sturdy flashcards with charming, frameworthy illustrations I would buy these.",5,"Fun, Sturdy Alphabet Flashcards",1322352000,"11 27, 2011",Toys_and_Games
A33AD11PQ1AAIM,735308365,Ashley,"[0, 0]","I am so delighted with these flashcards. I actually ordered the 'My first words' version of these and liked them so much I went back and ordered these. I had not heard of the mudpuppy brand before, but I'm looking into see what other products they make. My son is 16 months old, so these are a great toy to help him start to point out animals and make noises, as well as to learn his ABCs.  (The only watch out is that some of the animals I could not think what noises they make!) It is fun for us to go through the ring together or they are easy enough for him to manipulate that he can entertain himself by using them on his own. Given his age, a lot of things still end up in his mouth, including these cards. They have held up very well and aren't completely destroyed! The designs are very cute and this is something that I can see us getting a lot of use out of for the next year or two.  I liked them so much, I ordered another ring for an upcoming trip---they seem like a great plane ride activity.Also, I would highly recommend getting theSecure-A-Toy, BLACK-WHITEto go with this. I used this to strap the rings to the carseat and the stroller, so he can thumb through the cards on his own, but not lose them if he decides to throw them. If you have not used these in general, I highly suggest, as I've found a ton of uses over the last few weeks...they're especially great when traveling.",5,Durable and Educational--A great purchase!,1340496000,"06 24, 2012",Toys_and_Games
A16B4Y9FEFZHIQ,735308365,G. Odonnell,"[1, 1]","This product has lovely drawings and clear ABC's, but it is not for a baby that is still teething. My 18 month old had this chewed up in minutes. The card board the drawing are on are not as strong as board book weight.",3,nice drawings - not for a teether,1360886400,"02 15, 2013",Toys_and_Games
A2GDX8X591G67N,735308365,Iheartinky,"[1, 1]","These flash cards are perfect for our 2 year-old.  We could have even started much sooner and wish we would have.  He loves these cards, remembers the animals and is even learning how to recognize letters!  Others have said the ring comes apart but honestly, if that happens I will replace the plastic ring with a cheap metal one and keep going, no big deal!",5,Awesome Flash Cards!,1325289600,"12 31, 2011",Toys_and_Games
A3EERSWHAI6SO,735308365,"Jeffrey Hollingshead ""Jillian hollingshead""","[0, 0]","Great learning tool, but really wouldn't it be better to have a closed ring! My daughter loved this UNTIL she figured it out!! after that I never even found all the pieces!!",3,Why does the ring have to come apart ???,1339891200,"06 17, 2012",Toys_and_Games
ACYNXBW2IM4DC,735308365,just me,"[1, 1]","My 16 month old son loves this set of flash cards.  Because they are on the ring, I can hand them to him in the car and he flips through them looking at the pictures and telling us what he thinks each animal is.  Some of the pictures are a little folk arty for easy identification but my son loves them!",5,Great toy for the car,1295308800,"01 18, 2011",Toys_and_Games
A2DZ1GH0L0M01P,735308365,Marwah,"[0, 0]",the cards is colorful and the designed of the letters is so fabulousi like the fact of the cards it can't rippedi'm going to buy animals flash card,5,awesome,1359849600,"02 3, 2013",Toys_and_Games
A3SH7BYDGVVJI2,735308365,wyshoelover,"[1, 1]","the cards are well made, and they will not be easily torn. however, some of the letters are hard to read, and so the function of the cards as a learning tool is some what diminished...",3,pretty good,1357603200,"01 8, 2013",Toys_and_Games
A1EJ79Q0TVR2NJ,735321396,"A. Eaton ""Chris' mom""","[0, 0]",We got this to  our 2yo. It is a lot of fun and he gets really into putting his robots together!,5,Great for your little robot fan,1388016000,"12 26, 2013",Toys_and_Games
A18MG1GPSEAPE9,735321396,Amazon Customer,"[0, 0]",yea its just ok... a nice tin box to hold cheapy magnet... not much i can say about this one...,3,its ok,1377648000,"08 28, 2013",Toys_and_Games
ATZDGPMWR6N5D,735321396,BREA,"[0, 0]",If you have a kid that likes robots - and want some car toys - get this! It keeps my sons attention in the car and the pieces don't go flying because they are magnets. Cute graphics too.,5,great for car rides!,1375228800,"07 31, 2013",Toys_and_Games
AEXV0U23G2GTY,735321396,"Grammy M ""Grammy""","[0, 0]","After reading the reviews of others, I still purchased this toy as well as the one to make silly faces of the same make - I also purchased a couple of small magnetic boards (after reading that the actual sheets to put the magnets on are not magnetic) and clip the sheets onto the magnetic board before having my grandson put the magnetic pieces in place - this works out quite well!  But, yes, I agree the sheets should be magnetic that's why I did not give this toy 5 stars!  These toys are great for stimulating imaginative play as well as learning face/body parts!",4,nice magnetic toy,1359417600,"01 29, 2013",Toys_and_Games
A1J5LBA7N7HJCM,735321396,"H. Devaney ""Sidney and Ben's Mommy""","[9, 9]","My 3 year old son is obsessed with robots! So when you can build robots with magnets, WONDERFUL!He doesn't really use the ""backdrops"" that come with the little set, he uses the magnets on our fridge or dishwasher, which is just fine by me! He does, however, keep all the magnets in the metal tin they came in! I think it's because there's a cool robot on the front. =) The robot pieces are so unique! Not your plain old everyday robots, oh no! You can use radios, lamps, even mechanical cats to build your robots! So fun!",5,Great for little robot lovers!,1286323200,"10 6, 2010",Toys_and_Games
A1LJUBFU23KMP6,735321396,Rene J. Butta,"[0, 0]",My grandson really likes robots and liked this toy. He plays with it frequently and it is durable. Would recommend it highly.,5,Robots are Fun,1356134400,"12 22, 2012",Toys_and_Games
A26Y7EG7D26O23,735321396,SeaDreams,"[0, 0]","my son loves robots & this looked like a great idea! however the pages are not magnetic, they must be in the box when playing with this.  i assumed the pages were magnetic & he could design different robots on the pages, but no, that is not the case at all! overall, it did not hold his attention, therefore i'm not thrilled with it.",3,just ok,1326067200,"01 9, 2012",Toys_and_Games
ABKGN0ETNUNOA,073533305X,Beth S,"[0, 0]",I bought this as a secret santa gift that I divided up and give the child a couple pieces a day till christmas. They loved it!,5,Adorable puzzle,1391731200,"02 7, 2014",Toys_and_Games
A3FFY8SLBK89ES,073533305X,"B. Rachal ""msbrachal""","[0, 0]",The size of this puzzle is perfect for my 3 yr old.  Also the I love how sturdy and durable the pieces are.  Would recommend this company for puzzles for kids.,5,great puzzle,1390262400,"01 21, 2014",Toys_and_Games
A2CDP7ULSHS5G9,073533305X,BuyerG,"[0, 0]","This is a great floor puzzle and our children enjoy it very much.  It promotes eye hand coordination, visual perception, problem solving and many other skills.",5,Developmentally Appropriate - Develops great skills,1388188800,"12 28, 2013",Toys_and_Games
ASSHPKQBFZPB5,073533305X,"M. C. ""lovestoread""","[0, 0]","Very nice puzzle. I love the big pieces, and the durable cardboard. My 3 yo really likes it. Mudpuppy puzzles are good quality and the designs are cute.",5,Great,1384473600,"11 15, 2013",Toys_and_Games
A3U6SWQW5ID7F5,073533305X,PNaz,"[0, 1]","When we first got it, I was disappointed as I thought it would be too complicated for our toddler.  Instead he's mastered it!  He notices all these little things in the picture, like the umbrella and the pink dog, which gives him clues about putting it together.  These jumbo puzzles are great!",5,We love this puzzle!,1390867200,"01 28, 2014",Toys_and_Games
A30ZWN9BCMHJRK,073533305X,"Wendy A ""Wendy A""","[0, 0]","This looks like it will be a fun puzzle for my grandson.  Nice size pieces, should be fun to make on the kitchen floor.",5,Puzzle,1397260800,"04 12, 2014",Toys_and_Games
AESXO0Q7MIZW9,073533305X,yogiandbooboo,"[1, 1]","This puzzle was a great birthday present for the birthday boy who loves puzzles. He found the subject matter a lot of fun. After all, what boy doesn't love trucks and such? Packaging was good as alway from Amazon and arrival time was as usual there when estimated.",5,Cool Puzzle,1357084800,"01 2, 2013",Toys_and_Games
A2Y6NYY11EODRU,735333483,Alison,"[0, 0]",These are very cute but small.  I ordered them for my daughter but will have to wait to use them until she is a little older.,4,"Cute, but small.",1357257600,"01 4, 2013",Toys_and_Games
A1DD9MSMEKYOVW,735333483,I &#60;3 Baby Toys,"[0, 0]","This is a very nice magnet set and the milk-carton box it comes in is adorable.  The quality of the printing on the animals (which are very cute - just not ) just isn't as crisp the photos online suggest -- which detracts slightly from the overall great quality and cute artistry. I wish the colors were a little brighter, but I guess the softness gives the animals a gentleness that they might not otherwise have.  I love how there are different versions of the animals.  As another reviewer said, many have a mom, dad, and baby to match up with.  My 2.5 year old likes it when I pick out a baby and make him ""talk"" and say ""where is my mommy/(daddy)?"" and then she searches for the mom (or dad).  She likes to make the animals ""ride"" on the tractor and feed them the apples or hay.  When we put them away, I pretend like the top of the box is a hungry mouth and she loves throwing the magnets into the mouth (kinda goofy, but at least it gets her to help a little...I guess).  They seem to stick pretty well and I haven't had any peeling issues.  If it ever goes for ten bucks, I would grab it.  We paid sixteen, and I guess it's worth it for the box and quantity and I think these guys are so much cuter than the Melissa & Doug animals, but still...a few bucks less would have been nice! :)  We also have their sweets & treats magnet set and my daughter loves that.",4,very cute animals - but the printing isn't as crisp as in the photos online,1370476800,"06 6, 2013",Toys_and_Games
A394F57MK7RG4Q,735333483,Jenny Shields,"[0, 0]","Once my baby was old enough to stand, she wanted our fridge magnets.  I wanted to get her something fun, but also kind of stylish that I could stand seeing all over my fridge.  She loves these - it taught her all of her animals!",5,Toddler loves these!,1392768000,"02 19, 2014",Toys_and_Games
A1BY8U0O8QK9G0,735333483,J. Williams,"[0, 0]","I bought these for my one year old grandaughter along with the traditional set of letter magnets. She enjoys them but has some trouble with them because they are on the small and thin side.(better as she gets older) Great for learning animals, good colors, cute drawings.",5,Great magnet set!,1372118400,"06 25, 2013",Toys_and_Games
A1YGLSK49JI3NC,735333483,LocksByLace,"[0, 0]","My son is almost two and has had these on his magnet board in his playroom for a few months now. He likes the farmer and the tractor magnets the best and we use the animals to work with animal sounds often. These are small (which I know, it's in the description). The artwork is pretty cute and the magnet part does it's job. They come in really cute packaging...my friend used them in her little one's Easter basket, which was great visual display. But really for $18 they are more of an item I'd expect to find in an overpriced Boutique. Once they get out of the cute carton packaging they are just your ordinary $1 bin magnets.",4,Cute...overpriced...but cute.,1387065600,"12 15, 2013",Toys_and_Games
A1QR76SYGTXJN5,073533417X,"Adam B. Shaeffer ""ashaef""","[0, 0]","I appreciate the materials used to create this puzzle and our three year-old loves the picture that is formed when the puzzle is complete. Soy inks + recycled cardboard = Wonderful.I have only one criticism, and it's a minor one. Since the puzzle is intended for a younger audience, it might be nice if the pieces were a bit thicker. Our son has good fine motor skills, but the pieces can still bend and crease as he works to fit them together. With that said however, the creasing may be due more to his impatience when the pieces don't seem to fit right than with the build quality of the puzzle.",4,A good product,1357516800,"01 7, 2013",Toys_and_Games
